region,year,cases,deaths
IGL01,1980,50,29
IGL01,1981,49,29
IGL01,1982,41,20
IGL01,1983,36,19
IGL01,1984,44,22
IGL01,1985,43,26
IGL01,1986,50,30
IGL01,1987,53,32
IGL01,1988,34,23
IGL01,1989,60,36
IGL01,1990,57,40
IGL01,1991,63,37
IGL01,1992,80,57
IGL01,1993,71,50
IGL01,1994,62,37
IGL01,1995,57,35
IGL01,1996,62,35
IGL01,1997,61,37
IGL01,1998,35,23
IGL01,1999,58,39
IGL01,2000,53,27
IGL02,1980,25,17
IGL02,1981,20,13
IGL02,1982,20,13
IGL02,1983,18,13
IGL02,1984,16,9
IGL02,1985,28,20
IGL02,1986,24,13
IGL02,1987,29,18
IGL02,1988,23,11
IGL02,1989,28,19
IGL02,1990,28,19
IGL02,1991,39,26
IGL02,1992,30,19
IGL02,1993,29,14
IGL02,1994,24,14
IGL02,1995,19,12
IGL02,1996,29,24
IGL02,1997,25,15
IGL02,1998,22,13
IGL02,1999,30,19
IGL02,2000,24,17
IGL03,1980,24,14
IGL03,1981,21,13
IGL03,1982,29,14
IGL03,1983,20,11
IGL03,1984,23,11
IGL03,1985,12,6
IGL03,1986,27,19
IGL03,1987,19,13
IGL03,1988,21,12
IGL03,1989,27,20
IGL03,1990,20,13
IGL03,1991,23,12
IGL03,1992,21,14
IGL03,1993,35,18
IGL03,1994,23,17
IGL03,1995,21,13
IGL03,1996,25,17
IGL03,1997,32,22
IGL03,1998,29,18
IGL03,1999,21,13
IGL03,2000,18,10
IGL04,1980,58,35
IGL04,1981,56,35
IGL04,1982,58,45
IGL04,1983,65,39
IGL04,1984,74,43
IGL04,1985,89,57
IGL04,1986,86,60
IGL04,1987,88,48
IGL04,1988,88,62
IGL04,1989,91,60
IGL04,1990,88,53
IGL04,1991,95,64
IGL04,1992,106,72
IGL04,1993,85,52
IGL04,1994,87,56
IGL04,1995,73,45
IGL04,1996,98,58
IGL04,1997,77,49
IGL04,1998,92,65
IGL04,1999,64,40
IGL04,2000,56,33
IGL05,1980,16,11
IGL05,1981,24,17
IGL05,1982,20,11
IGL05,1983,21,12
IGL05,1984,20,14
IGL05,1985,24,12
IGL05,1986,20,15
IGL05,1987,25,19
IGL05,1988,16,11
IGL05,1989,24,17
IGL05,1990,32,25
IGL05,1991,35,21
IGL05,1992,24,19
IGL05,1993,29,20
IGL05,1994,26,17
IGL05,1995,26,14
IGL05,1996,22,11
IGL05,1997,30,26
IGL05,1998,27,16
IGL05,1999,24,19
IGL05,2000,30,17
IGL06,1980,74,54
IGL06,1981,47,21
IGL06,1982,54,42
IGL06,1983,56,33
IGL06,1984,51,33
IGL06,1985,79,43
IGL06,1986,52,33
IGL06,1987,67,46
IGL06,1988,78,54
IGL06,1989,65,47
IGL06,1990,72,49
IGL06,1991,77,44
IGL06,1992,76,45
IGL06,1993,96,61
IGL06,1994,65,34
IGL06,1995,71,43
IGL06,1996,72,56
IGL06,1997,55,34
IGL06,1998,79,49
IGL06,1999,56,33
IGL06,2000,52,30
IGL07,1980,0,0
IGL07,1981,0,0
IGL07,1982,0,0
IGL07,1983,0,0
IGL07,1984,0,0
IGL07,1985,0,0
IGL07,1986,0,0
IGL07,1987,2,1
IGL07,1988,0,0
IGL07,1989,1,1
IGL07,1990,0,0
IGL07,1991,2,1
IGL07,1992,0,0
IGL07,1993,1,0
IGL07,1994,0,0
IGL07,1995,0,0
IGL07,1996,0,0
IGL07,1997,5,4
IGL07,1998,0,0
IGL07,1999,0,0
IGL07,2000,0,0
IGL08,1980,37,26
IGL08,1981,35,30
IGL08,1982,34,21
IGL08,1983,34,22
IGL08,1984,40,30
IGL08,1985,35,24
IGL08,1986,33,22
IGL08,1987,34,21
IGL08,1988,43,33
IGL08,1989,38,20
IGL08,1990,37,27
IGL08,1991,47,30
IGL08,1992,48,26
IGL08,1993,43,33
IGL08,1994,52,34
IGL08,1995,60,38
IGL08,1996,47,33
IGL08,1997,40,27
IGL08,1998,45,26
IGL08,1999,44,25
IGL08,2000,54,32
IGL09,1980,47,30
IGL09,1981,39,28
IGL09,1982,51,33
IGL09,1983,42,29
IGL09,1984,45,28
IGL09,1985,47,25
IGL09,1986,51,34
IGL09,1987,52,32
IGL09,1988,56,34
IGL09,1989,54,30
IGL09,1990,60,40
IGL09,1991,43,29
IGL09,1992,58,36
IGL09,1993,73,46
IGL09,1994,77,59
IGL09,1995,50,26
IGL09,1996,62,48
IGL09,1997,65,38
IGL09,1998,52,31
IGL09,1999,54,33
IGL09,2000,46,33
IGL10,1980,66,41
IGL10,1981,60,37
IGL10,1982,43,34
IGL10,1983,52,32
IGL10,1984,60,36
IGL10,1985,49,30
IGL10,1986,42,24
IGL10,1987,55,31
IGL10,1988,67,51
IGL10,1989,70,46
IGL10,1990,71,53
IGL10,1991,63,39
IGL10,1992,87,45
IGL10,1993,62,33
IGL10,1994,62,34
IGL10,1995,66,45
IGL10,1996,62,38
IGL10,1997,58,37
IGL10,1998,62,43
IGL10,1999,54,34
IGL10,2000,54,35
IGL11,1980,53,30
IGL11,1981,55,33
IGL11,1982,55,28
IGL11,1983,45,31
IGL11,1984,53,34
IGL11,1985,61,47
IGL11,1986,69,42
IGL11,1987,54,35
IGL11,1988,60,40
IGL11,1989,79,45
IGL11,1990,91,55
IGL11,1991,88,58
IGL11,1992,65,44
IGL11,1993,69,52
IGL11,1994,76,51
IGL11,1995,72,51
IGL11,1996,76,42
IGL11,1997,81,49
IGL11,1998,63,40
IGL11,1999,63,44
IGL11,2000,68,47
IGL12,1980,6,5
IGL12,1981,5,3
IGL12,1982,4,3
IGL12,1983,3,2
IGL12,1984,7,6
IGL12,1985,7,7
IGL12,1986,9,6
IGL12,1987,2,2
IGL12,1988,10,6
IGL12,1989,4,3
IGL12,1990,6,3
IGL12,1991,13,7
IGL12,1992,1,1
IGL12,1993,9,6
IGL12,1994,7,5
IGL12,1995,10,5
IGL12,1996,7,3
IGL12,1997,5,4
IGL12,1998,5,5
IGL12,1999,8,5
IGL12,2000,9,5
IGL13,1980,42,27
IGL13,1981,47,34
IGL13,1982,40,25
IGL13,1983,48,28
IGL13,1984,59,35
IGL13,1985,50,31
IGL13,1986,42,24
IGL13,1987,60,40
IGL13,1988,53,35
IGL13,1989,75,48
IGL13,1990,58,40
IGL13,1991,68,49
IGL13,1992,68,41
IGL13,1993,62,34
IGL13,1994,56,37
IGL13,1995,57,30
IGL13,1996,57,36
IGL13,1997,53,34
IGL13,1998,56,39
IGL13,1999,54,40
IGL13,2000,46,25
IGL14,1980,36,28
IGL14,1981,34,19
IGL14,1982,33,23
IGL14,1983,40,18
IGL14,1984,37,29
IGL14,1985,43,26
IGL14,1986,46,33
IGL14,1987,41,27
IGL14,1988,37,20
IGL14,1989,41,26
IGL14,1990,43,23
IGL14,1991,39,28
IGL14,1992,60,36
IGL14,1993,65,45
IGL14,1994,60,42
IGL14,1995,47,31
IGL14,1996,44,31
IGL14,1997,45,29
IGL14,1998,42,26
IGL14,1999,41,24
IGL14,2000,40,26
IGL15,1980,28,14
IGL15,1981,25,16
IGL15,1982,15,8
IGL15,1983,21,16
IGL15,1984,16,10
IGL15,1985,15,11
IGL15,1986,24,14
IGL15,1987,21,14
IGL15,1988,24,11
IGL15,1989,22,17
IGL15,1990,32,21
IGL15,1991,23,14
IGL15,1992,24,18
IGL15,1993,32,16
IGL15,1994,26,20
IGL15,1995,25,18
IGL15,1996,17,13
IGL15,1997,18,11
IGL15,1998,21,17
IGL15,1999,23,16
IGL15,2000,19,12
IGL16,1980,1,1
IGL16,1981,2,0
IGL16,1982,3,2
IGL16,1983,3,3
IGL16,1984,1,0
IGL16,1985,0,0
IGL16,1986,0,0
IGL16,1987,3,2
IGL16,1988,3,1
IGL16,1989,3,1
IGL16,1990,4,3
IGL16,1991,3,2
IGL16,1992,3,1
IGL16,1993,2,1
IGL16,1994,1,0
IGL16,1995,2,2
IGL16,1996,4,3
IGL16,1997,0,0
IGL16,1998,3,3
IGL16,1999,4,2
IGL16,2000,3,1
IGL17,1980,28,16
IGL17,1981,22,15
IGL17,1982,31,22
IGL17,1983,24,17
IGL17,1984,31,21
IGL17,1985,45,30
IGL17,1986,32,16
IGL17,1987,42,31
IGL17,1988,29,24
IGL17,1989,38,21
IGL17,1990,35,23
IGL17,1991,27,21
IGL17,1992,41,27
IGL17,1993,41,31
IGL17,1994,42,26
IGL17,1995,38,23
IGL17,1996,43,26
IGL17,1997,41,29
IGL17,1998,48,26
IGL17,1999,39,23
IGL17,2000,46,26
IGL18,1980,1,1
IGL18,1981,1,1
IGL18,1982,0,0
IGL18,1983,1,1
IGL18,1984,2,1
IGL18,1985,4,4
IGL18,1986,5,5
IGL18,1987,2,2
IGL18,1988,3,2
IGL18,1989,2,1
IGL18,1990,3,1
IGL18,1991,3,0
IGL18,1992,3,3
IGL18,1993,4,3
IGL18,1994,1,0
IGL18,1995,2,0
IGL18,1996,3,2
IGL18,1997,2,1
IGL18,1998,1,1
IGL18,1999,4,3
IGL18,2000,2,0
IGL19,1980,8,6
IGL19,1981,6,2
IGL19,1982,7,4
IGL19,1983,12,8
IGL19,1984,4,2
IGL19,1985,6,2
IGL19,1986,13,6
IGL19,1987,13,7
IGL19,1988,14,10
IGL19,1989,9,4
IGL19,1990,11,7
IGL19,1991,8,5
IGL19,1992,4,2
IGL19,1993,11,6
IGL19,1994,10,7
IGL19,1995,10,6
IGL19,1996,8,2
IGL19,1997,19,13
IGL19,1998,9,5
IGL19,1999,12,9
IGL19,2000,10,7
IGL20,1980,2,1
IGL20,1981,4,3
IGL20,1982,0,0
IGL20,1983,5,2
IGL20,1984,4,3
IGL20,1985,6,1
IGL20,1986,3,2
IGL20,1987,3,3
IGL20,1988,3,2
IGL20,1989,5,4
IGL20,1990,2,1
IGL20,1991,4,2
IGL20,1992,7,2
IGL20,1993,2,2
IGL20,1994,5,5
IGL20,1995,7,6
IGL20,1996,2,2
IGL20,1997,4,2
IGL20,1998,2,1
IGL20,1999,3,3
IGL20,2000,6,4
IGL21,1980,1,1
IGL21,1981,1,0
IGL21,1982,1,0
IGL21,1983,0,0
IGL21,1984,1,0
IGL21,1985,1,0
IGL21,1986,2,2
IGL21,1987,3,1
IGL21,1988,3,3
IGL21,1989,0,0
IGL21,1990,2,1
IGL21,1991,1,0
IGL21,1992,2,1
IGL21,1993,2,2
IGL21,1994,0,0
IGL21,1995,1,1
IGL21,1996,1,1
IGL21,1997,4,2
IGL21,1998,1,1
IGL21,1999,2,2
IGL21,2000,3,2
IGL22,1980,22,11
IGL22,1981,19,14
IGL22,1982,19,12
IGL22,1983,20,15
IGL22,1984,24,17
IGL22,1985,24,15
IGL22,1986,31,21
IGL22,1987,35,21
IGL22,1988,30,20
IGL22,1989,19,10
IGL22,1990,32,25
IGL22,1991,34,23
IGL22,1992,36,26
IGL22,1993,37,26
IGL22,1994,25,18
IGL22,1995,33,24
IGL22,1996,35,24
IGL22,1997,38,22
IGL22,1998,40,26
IGL22,1999,37,28
IGL22,2000,28,19
IGL23,1980,0,0
IGL23,1981,2,1
IGL23,1982,0,0
IGL23,1983,1,1
IGL23,1984,0,0
IGL23,1985,3,3
IGL23,1986,0,0
IGL23,1987,1,0
IGL23,1988,2,1
IGL23,1989,4,4
IGL23,1990,0,0
IGL23,1991,0,0
IGL23,1992,2,1
IGL23,1993,0,0
IGL23,1994,1,1
IGL23,1995,0,0
IGL23,1996,1,0
IGL23,1997,1,1
IGL23,1998,0,0
IGL23,1999,1,1
IGL23,2000,1,1
IGL24,1980,21,16
IGL24,1981,24,15
IGL24,1982,13,12
IGL24,1983,19,12
IGL24,1984,26,16
IGL24,1985,16,12
IGL24,1986,17,10
IGL24,1987,23,16
IGL24,1988,23,12
IGL24,1989,24,13
IGL24,1990,22,14
IGL24,1991,24,14
IGL24,1992,30,18
IGL24,1993,31,20
IGL24,1994,31,18
IGL24,1995,26,15
IGL24,1996,28,19
IGL24,1997,21,15
IGL24,1998,23,16
IGL24,1999,25,15
IGL24,2000,20,13
IGL25,1980,39,26
IGL25,1981,34,23
IGL25,1982,31,21
IGL25,1983,39,27
IGL25,1984,35,22
IGL25,1985,36,25
IGL25,1986,31,21
IGL25,1987,38,22
IGL25,1988,40,32
IGL25,1989,37,21
IGL25,1990,48,26
IGL25,1991,46,31
IGL25,1992,48,31
IGL25,1993,44,24
IGL25,1994,53,27
IGL25,1995,51,38
IGL25,1996,42,23
IGL25,1997,41,24
IGL25,1998,39,26
IGL25,1999,46,36
IGL25,2000,53,30
